"Zaman damgası","Cinsiyetiniz","Yaşınız","Medeni Haliniz","Eğitim Durumunuz","Düzenli Bir İşte Çalışıyor Musunuz? ","Kalabalık önünde konuşmaktan utanırım.","Başkalarının yaptıkları yanlışları görünce onlara yaptıklarının yanlış olduğunu söylemekten utanırım.","İnsanlara onlara karşı olan duygularımı söylemekten utanırım.","Bana ait olan eşyaları başkasına ödünç verdiğimde geri istemeye utanırım. ","Toplum içinde başkası tarafından övülmekten utanırım.","Alakam olmasa dahi bir başkasının yaptığı hareketlerden utanırım.","Anlatılan şeyleri anlamadığım zaman tekrar etmelerini istemeye utanırım.",""
"2021/03/25 11:21:33 ÖS GMT+3","Kadın","35-44","Evli","Yüksek Lisans","Evet","1","2","2","2","1","1","1","1"
"2021/03/25 11:22:49 ÖS GMT+3","Kadın","35-44","Evli","Yüksek Lisans","Evet","1","2","2","2","1","1","1","1"
"2021/03/25 11:22:54 ÖS GMT+3","Kadın","18-24","Bekar","Üniversite","Hayır","3","4","2","4","1","3","2","1"
"2021/03/25 11:24:52 ÖS GMT+3","Erkek","45+","Evli","Üniversite","Evet","3","2","2","3","4","3","2","2"
"2021/03/25 11:27:05 ÖS GMT+3","Kadın","18-24","Bekar","Üniversite","Hayır","2","2","2","1","1","4","3","1"
"2021/03/25 11:29:50 ÖS GMT+3","Kadın","25-34","Bekar","Üniversite","Hayır","3","2","1","2","2","2","1","2"
"2021/03/25 11:30:02 ÖS GMT+3","Erkek","35-44","Evli","Üniversite","Evet","1","1","1","2","2","2","1","1"
"2021/03/25 11:31:07 ÖS GMT+3","Erkek","18-24","Bekar","Üniversite","Evet","2","1","2","3","1","1","1","1"
"2021/03/25 11:32:03 ÖS GMT+3","Kadın","35-44","Evli","Üniversite","Hayır","2","3","3","4","3","3","4","1"
"2021/03/25 11:33:30 ÖS GMT+3","Kadın","35-44","Evli","Üniversite","Evet","2","2","2","3","2","1","1","1"
"2021/03/25 11:35:51 ÖS GMT+3","Kadın","18-24","Bekar","Üniversite","Hayır","2","1","1","2","1","4","1","1"
"2021/03/25 11:37:05 ÖS GMT+3","Erkek","18-24","Bekar","Üniversite","Hayır","2","2","1","1","4","2","1","1"
"2021/03/25 11:37:18 ÖS GMT+3","Kadın","25-34","Bekar","Üniversite","Evet","1","1","1","1","3","4","2","1"
"2021/03/25 11:37:49 ÖS GMT+3","Kadın","18-24","Bekar","Üniversite","Hayır","3","2","2","2","2","3","2",""
"2021/03/25 11:38:28 ÖS GMT+3","Erkek","35-44","Evli","Üniversite","Evet","3","3","2","2","2","3","2",""
"2021/03/25 11:40:03 ÖS GMT+3","Kadın","35-44","Evli","Üniversite","Evet","4","3","3","3","3","2","3",""
"2021/03/25 11:41:37 ÖS GMT+3","Erkek","35-44","Evli","Üniversite","Evet","2","2","2","1","1","3","2",""
"2021/03/25 11:42:26 ÖS GMT+3","Kadın","18-24","Bekar","Üniversite","Hayır","2","1","1","1","1","2","1",""
"2021/03/25 11:43:37 ÖS GMT+3","Erkek","35-44","Evli","Üniversite","Evet","3","3","3","3","3","2","3",""
"2021/03/25 11:43:39 ÖS GMT+3","Erkek","18-24","Bekar","Üniversite","Hayır","3","2","3","2","2","3","2",""
"2021/03/25 11:44:12 ÖS GMT+3","Erkek","18-24","Bekar","Lise","Evet","1","1","3","4","1","4","1",""
"2021/03/25 11:44:27 ÖS GMT+3","Erkek","18-24","Bekar","Üniversite","Hayır","2","1","1","3","1","2","1",""
"2021/03/25 11:44:59 ÖS GMT+3","Kadın","18-24","Bekar","Üniversite","Evet","4","2","4","4","4","1","3",""
"2021/03/25 11:47:14 ÖS GMT+3","Kadın","18-24","Bekar","Lise","Hayır","2","3","2","4","1","2","3",""
"2021/03/25 11:48:33 ÖS GMT+3","Erkek","18-24","Bekar","Üniversite","Hayır","1","3","2","2","4","3","2",""
"2021/03/25 11:49:11 ÖS GMT+3","Kadın","35-44","Evli","Üniversite","Evet","1","2","1","3","3","3","1",""
"2021/03/25 11:50:40 ÖS GMT+3","Kadın","18-24","Bekar","Üniversite","Hayır","3","3","3","3","2","1","2",""
"2021/03/25 11:55:04 ÖS GMT+3","Kadın","18-24","Bekar","Üniversite","Hayır","2","2","2","2","1","3","1",""
"2021/03/25 11:56:11 ÖS GMT+3","Kadın","18-24","Bekar","Üniversite","Hayır","2","2","2","2","1","3","1",""
"2021/03/25 11:58:10 ÖS GMT+3","Kadın","35-44","Evli","Lise","Hayır","3","3","3","4","2","3","4",""
"2021/03/25 11:59:40 ÖS GMT+3","Kadın","18-24","Bekar","Lise","Hayır","2","3","3","4","2","4","2",""
"2021/03/26 12:00:22 ÖÖ GMT+3","Kadın","18-24","Bekar","Üniversite","Hayır","2","2","1","2","3","3","2",""
"2021/03/26 12:00:46 ÖÖ GMT+3","Kadın","18-24","Bekar","Üniversite","Hayır","1","1","2","2","1","2","1",""
"2021/03/26 12:01:00 ÖÖ GMT+3","Kadın","18-24","Bekar","Üniversite","Hayır","2","1","1","1","2","2","1",""
"2021/03/26 12:01:04 ÖÖ GMT+3","Erkek","18-24","Bekar","İlkokul","Evet","3","4","4","1","1","2","4",""
"2021/03/26 12:03:30 ÖÖ GMT+3","Kadın","18-24","Bekar","Üniversite","Hayır","1","1","2","2","3","2","3",""
"2021/03/26 12:04:01 ÖÖ GMT+3","Kadın","18-24","Bekar","Üniversite","Hayır","2","1","1","2","2","2","1",""
"2021/03/26 12:04:59 ÖÖ GMT+3","Kadın","25-34","Evli","Yüksek Lisans","Hayır","1","1","1","2","1","1","2",""
"2021/03/26 12:06:29 ÖÖ GMT+3","Kadın","35-44","Evli","İlkokul","Evet","4","4","1","1","1","1","1",""
"2021/03/26 12:10:42 ÖÖ GMT+3","Erkek","18-24","Evli","Üniversite","Evet","1","3","1","1","3","3","2",""
"2021/03/26 12:11:46 ÖÖ GMT+3","Erkek","18-24","Bekar","Yüksek Lisans","Hayır","2","2","3","1","3","4","1",""
"2021/03/26 12:14:47 ÖÖ GMT+3","Kadın","35-44","Evli","Üniversite","Evet","2","2","1","2","4","3","3",""
"2021/03/26 12:16:00 ÖÖ GMT+3","Erkek","25-34","Bekar","Üniversite","Hayır","2","3","1","4","2","3","1",""
"2021/03/26 12:16:22 ÖÖ GMT+3","Kadın","45+","Evli","Üniversite","Evet","4","4","4","4","4","4","3",""
"2021/03/26 12:16:57 ÖÖ GMT+3","Erkek","18-24","Bekar","Üniversite","Hayır","2","2","1","1","2","1","1",""
